Course	Name	Attributes	Prerequisites
ECE 2802	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2803	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2804	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2805	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2811	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2812	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2813	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2814	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2815	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2881	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2882	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2883	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2884	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2891	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2892	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2893	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2894	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 2900	Special Problems	Tech Elect CS,Engr,&Sciences	
ECE 2901	Special Problems	Tech Elect CS,Engr,&Sciences	
ECE 2902	Special Problems	Tech Elect CS,Engr,&Sciences	
ECE 2903	Special Problems	Tech Elect CS,Engr,&Sciences	
ECE 3005	Professional and Technical Communications for ECE		ECE 2031,ECE 20X2,|,ECE 3025,ECE 3040,|,ECE 3072,ECE 3084,|,|,ECE 3020,ECE 3030,|,|,ECE 3056,|,&
ECE 3006	Co-Curricular Professional Communications for ECE		
ECE 3020	Mathematical Foundations of Computer Engineering		ECE 2035,ECE 2036,|,MATH 2401,MATH 2411,|,MATH 24X1,MATH 2403,|,|,MATH 2413,MATH 24X3,|,|,&
ECE 3025	Electromagnetics	Tech Elect CS,Engr,&Sciences	ECE 2040,ECE 3710,|,ECE 2025,ECE 2026,|,NRE 2110,|,&,MATH 2401,MATH 2411,|,MATH 24X1,|,&,MATH 2403,MATH 2413,|,ECE 37100,|,&
ECE 3030	Physical Foundations of Computer Engineering		ECE 2020,ECE 2030,|,ECE 2040,&
ECE 3035	Mechanisms for Computing Systems	Tech Elect CS,Engr,&Sciences	ECE 2030,CS 1372,&
ECE 3040	Microelectronic Circuits	Tech Elect CS,Engr,&Sciences	ECE 2031,ECE 2035,ECE 2036,|,&,ECE 2040,&,CHEM 1310,CHEM 1211,|,CHEM 12X1,|,&,MATH 2401,MATH 2411,|,MATH 24X1,|,&,ECE 20350,ECE 20351,|,ECE 20352,|,&
ECE 3041	Instrumentation and Circuits Laboratory	Tech Elect CS,Engr,&Sciences	ECE 2031,BMED 2200,|,ECE 3040,&
ECE 3042	Microelectronic Circuits Laboratory	Tech Elect CS,Engr,&Sciences	ECE 3040,ECE 3041,&
ECE 3043	Measurements, Circuits, and Microelectronics Laboratory		
ECE 3050	Analog Electronics	Tech Elect CS,Engr,&Sciences	ECE 3040
ECE 3055	Computer Architecture and Operating Systems	Tech Elect CS,Engr,&Sciences	ECE 2031
ECE 3056	Architecture, Concurrency, and Energy in Computation		ECE 2031,ECE 2035,ECE 3035,|,&
ECE 3060	VLSI and Advanced Digital Design	Tech Elect CS,Engr,&Sciences	ECE 2031,ECE 3040,&
ECE 3065	Electromagnetic Applications	Tech Elect CS,Engr,&Sciences	ECE 3025
ECE 3070	Electromechanical and Electromagnetic Energy Conversion	Tech Elect CS,Engr,&Sciences	ECE 3025,ECE 3040,&
ECE 3071	Modern Electric Energy Systems	Tech Elect CS,Engr,&Sciences	ECE 2040,ECE 3710,|
ECE 3072	Electrical Energy Systems		ECE 2040,ECE 3710,|
ECE 3075	Random Signals	Tech Elect CS,Engr,&Sciences	ECE 2025,ISYE 3770,MATH 3770,|,CEE 3770,ISYE 2027,|,|,&
ECE 3076	Computer Communications	Tech Elect CS,Engr,&Sciences	ECE 2025,ECE 2030,&
ECE 3077	Prob/Stats for ECE		ECE 2020,ECE 2030,|,ECE 2040,&,MATH 2401,MATH 2411,|,MATH 24X1,|,&
ECE 3080	Semiconductor Devices for Computer Engineering and Telecommunication Systems	Tech Elect CS,Engr,&Sciences	ECE 3040
ECE 3084	Signals and Systems		ECE 2026,ECE 2025,|,ECE 2040,&
ECE 3085	Introduction to Systems and Controls	Tech Elect CS,Engr,&Sciences	ECE 2040,ECE 2025,&
ECE 3090	Software Fundamentals for Engineering Systems	Tech Elect CS,Engr,&Sciences	ECE 2025,ECE 2030,&,ECE 2040,&
ECE 3300	Electromechanical and Electromagnetic Energy Conversion		ECE 3025,ECE 3040,&
ECE 3400	Analog Electronics		ECE 3040
ECE 3431	Analog Electronics Laboratory	Tech Elect CS,Engr,&Sciences	ECE 3050,ECE 3042,&
ECE 3450	Semiconductor Devices		ECE 3040
ECE 3550	Feedback Control Systems		ECE 2040
ECE 3600	Computer Communications		ECE 2020,ECE 2030,|,ECE 2026,ECE 2025,|,&
ECE 3710	Circuits and Electronics	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
ECE 3741	Instrumentation and Electronics Lab	Tech Elect CS,Engr,&Sciences	ECE 3710
ECE 3801	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3802	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3803	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3804	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3805	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3811	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3812	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3813	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3814	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3815	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3881	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3882	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3883	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3884	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3891	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3892	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3893	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3894	Special Topics	Tech Elect CS,Engr,&Sciences	
ECE 3900	Special Problems	Tech Elect CS,Engr,&Sciences	
ECE 3901	Special Problems	Tech Elect CS,Engr,&Sciences	
ECE 3902	Special Problems	Tech Elect CS,Engr,&Sciences	
ECE 3903	Special Problems	Tech Elect CS,Engr,&Sciences	
ECE 3951	Undergraduate Research I	Tech Elect CS,Engr,&Sciences	
ECE 3952	Undergraduate Research II	Tech Elect CS,Engr,&Sciences	ECE 3951
ECE 4001	Engineering Practice and Professionalism		ECE 3040,CEE 3770,ISYE 3770,|,MATH 3770,ISYE 2027,|,|,&,ECON 2100,ECON 2101,|,ECON 2105,ECON 2106,|,|,&
ECE 4007	ECE Culminating Design Project		ECE 3042,ECE 4001,&
ECE 4011	ECE Culminating Design Project I		ECE 3025,ECE 3040,&,ECE 3043,&,ECE 3072,&,ECE 3084,ECE 3020,|,&,ECE 3030,&,ECE 3056,&,ECE 3005,ECE 3006,|,&,ECE 30400,ECE 30401,|,ECE 30402,ECE 30403,|,|,&,ECE 30404,ECE 30405,|,ECE 30406,ECE 30407,|,|,&
ECE 4012	ECE Culminating Design Project II		ECE 4011,ECE 3025,ECE 3084,ECE 3020,|,&,ECE 3030,&,&
ECE 4043	Senior Analog Electronics Laboratory		ECE 3043
ECE 4100	Advanced Computer Architecture	Tech Elect CS,Engr,&Sciences	ECE 3055,ECE 3056,|
ECE 4110	Internetwork Programming	Tech Elect CS,Engr,&Sciences	ECE 3076,ECE 3600,|,CS 3251,CEE 3770,|,|,ISYE 3770,MATH 3770,|,|,ECE 3077,|
ECE 4112	Internetwork Security	Tech Elect CS,Engr,&Sciences	ECE 3076,ECE 3600,|,ECE 4110,CS 3251,|,|
ECE 4130	Advanced VLSI Systems	Tech Elect CS,Engr,&Sciences	ECE 3050,ECE 3060,|
ECE 4170	Introduction to HDLs with Applications to Digital System	Tech Elect CS,Engr,&Sciences	ECE 2031
ECE 4175	Embedded Microcontroller Design	Tech Elect CS,Engr,&Sciences	ECE 2031
ECE 4180	Embedded Systems Design	Tech Elect CS,Engr,&Sciences	CS 1372,ECE 3035,ECE 3055,|,ECE 3056,|,&,ECE 2031,|,ECE 2035,ECE 3035,|,&,ECE 3040,ECE 3056,|,&
ECE 4185	Embedded Microcontroller Design		ECE 2031,ECE 3040,ECE 3055,|,ECE 3056,CS 3240,|,|,CS 3510,|,&
ECE 4260	Random Signals and Applications		ECE 3084,ECE 3077,ISYE 3770,|,MATH 3770,CEE 3770,|,|,&
ECE 4270	Fundamentals of Digital Signal Processing	Tech Elect CS,Engr,&Sciences	ECE 3075
ECE 4271	Applications of Digital Signal Processing	Tech Elect CS,Engr,&Sciences	ECE 4270
ECE 4273	Design Synthesis of Application-specific Signal Processors	Tech Elect CS,Engr,&Sciences	ECE 4270
ECE 4320	Power System Analysis and Control	Tech Elect CS,Engr,&Sciences	ECE 3070,ECE 3300,|
ECE 4321	Power System Engineering	Tech Elect CS,Engr,&Sciences	ECE 3070,ECE 3300,|
ECE 4325	Electric Power Quality		ECE 3070,ECE 3300,|
ECE 4330	Power Electronics	Tech Elect CS,Engr,&Sciences	ECE 3040,ECE 3043,&
ECE 4335	Electric Machinery Analysis		ECE 3070,ECE 3300,|
ECE 4360	RF-Microwave Measurement Laboratory	Tech Elect CS,Engr,&Sciences	ECE 3065,ECE 4415,&
ECE 4370	Antenna Engineering	Tech Elect CS,Engr,&Sciences	ECE 3065
ECE 4390	Introduction to Radar and Electromagnetic Sensing	Tech Elect CS,Engr,&Sciences	ECE 3065
ECE 4391	Electromagnetic Compatibility	Tech Elect CS,Engr,&Sciences	ECE 3025,ECE 3040,&
ECE 4410	Analog Filters	Tech Elect CS,Engr,&Sciences	ECE 3040
ECE 4415	RF Engineering I	Tech Elect CS,Engr,&Sciences	ECE 3025,ECE 3050,ECE 3400,|,&
ECE 4418	RF Engineering II	Tech Elect CS,Engr,&Sciences	ECE 4415
ECE 4420	Digital Integrated Circuits	Tech Elect CS,Engr,&Sciences	ECE 3040
ECE 4430	Analog Integrated Circuits	Tech Elect CS,Engr,&Sciences	ECE 3050,ECE 3400,|
ECE 4435	Operational Amplifier Design	Tech Elect CS,Engr,&Sciences	ECE 3041,ECE 3043,|
ECE 4445	Audio Engineering	Tech Elect CS,Engr,&Sciences	ECE 3040
ECE 4451	Semiconductor Devices for Wireless and Fiber Communication	Tech Elect CS,Engr,&Sciences	ECE 3080,ECE 3450,|
ECE 4460	Introduction to Electronic Systems Packaging	Tech Elect CS,Engr,&Sciences	ECE 3040,ECE 3710,|
ECE 4500	Optical Engineering	Tech Elect CS,Engr,&Sciences	ECE 3025
ECE 4501	Fiber Optics	Tech Elect CS,Engr,&Sciences	ECE 3025
ECE 4550	Control System Design		ECE 2031,ECE 3550,&
ECE 4551	Systems and Controls I	Tech Elect CS,Engr,&Sciences	ECE 3085
ECE 4555	Embedded and Hybrid Control Systems	Tech Elect CS,Engr,&Sciences	ECE 3085,ECE 3550,|
ECE 4560	Introduction to Automation and Robotics	Tech Elect CS,Engr,&Sciences	ECE 3085,ECE 3550,|
ECE 4562	Neural Networks and Fuzzy Logic in Control	Tech Elect CS,Engr,&Sciences	ECE 3085,ECE 3550,|
ECE 4570	System Theory for Communication and Control	Tech Elect CS,Engr,&Sciences	ECE 3085,ECE 3550,|
ECE 4580	Computational Computer Vision	Tech Elect CS,Engr,&Sciences	ECE 2025,ECE 2026,|
ECE 4601	Communication Systems	Tech Elect CS,Engr,&Sciences	ECE 3040,CEE 3770,ISYE 3770,|,MATH 3770,ECE 3077,|,|,&
ECE 4602	Communication Systems Laboratory	Tech Elect CS,Engr,&Sciences	ECE 4601
ECE 4604	Network Design and Simulation	Tech Elect CS,Engr,&Sciences	ECE 3076,ECE 3600,|
ECE 4605	Advanced Internetworking	Tech Elect CS,Engr,&Sciences	ECE 3076,ECE 3600,|
ECE 4606	Wireless Communications	Tech Elect CS,Engr,&Sciences	ECE 2025,ECE 2026,|,ECE 3040,ECE 3710,|,&,CEE 3770,ISYE 3770,|,MATH 3770,ECE 3077,|,|,&
ECE 4607	Mobile and Wireless Networks	Tech Elect CS,Engr,&Sciences	ECE 3076,ECE 3600,|
ECE 4698	Undergraduate Research Assistantship		
ECE 4699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
ECE 4751	Laser Theory and Applications	Tech Elect CS,Engr,&Sciences	PHYS 2212
ECE 4752	Integrated Circuit Fabrication	Tech Elect CS,Engr,&Sciences	ECE 3040,ECE 3710,|
