Course	Name	Attributes	Prerequisites
ME 8811	Special Topics in Computer-aided Engineering and Design		
ME 8812	Special Topics in Computer-aided Engineering and Design		
ME 8813	Special Topics in Computer-aided Engineering and Design		
ME 8814	Special Topics in Computer-aided Engineering and Design		
ME 8815	Special Topics in Computer-aided Engineering and Design		
ME 8816	Special Topics in Computer-aided Engineering and Design		
ME 8821	Special Topics in Tribology		
ME 8822	Special Topics in Tribology		
ME 8823	Special Topics in Tribology		
ME 8824	Special Topics in Tribology		
ME 8825	Special Topics in Tribology		
ME 8826	Special Topics in Tribology		
ME 8831	Special Topics in Thermal Sciences		
ME 8832	Special Topics in Thermal Sciences		
ME 8833	Special Topics in Thermal Sciences		
ME 8834	Special Topics in Thermal Sciences		
ME 8835	Special Topics in Thermal Sciences		
ME 8836	Special Topics in Thermal Sciences		
ME 8841	Special Topics in Automation and Mechatronics		
ME 8842	Special Topics in Automation and Mechatronics		
ME 8843	Special Topics in Automation and Mechatronics		
ME 8844	Special Topics in Automation and Mechatronics		
ME 8845	Special Topics in Automation and Mechatronics		
ME 8846	Special Topics in Automation and Mechatronics		
ME 8851	Special Topics in Acoustics and Dynamics		
ME 8852	Special Topics in Acoustics and Dynamics		
ME 8853	Special Topics in Acoustics and Dynamics		
ME 8854	Special Topics in Acoustics and Dynamics		
ME 8855	Special Topics in Acoustics and Dynamics		
ME 8856	Special Topics in Acoustics and Dynamics		
ME 8861	Special Topics in Fluid Mechanics		
ME 8862	Special Topics in Fluid Mechanics		
ME 8863	Special Topics in Fluid Mechanics		
ME 8864	Special Topics in Fluid Mechanics		
ME 8865	Special Topics in Fluid Mechanics		
ME 8866	Special Topics in Fluid Mechanics		
ME 8871	Special Topics in Bioengineering		
ME 8872	Special Topics in Bioengineering		
ME 8873	Special Topics in Bioengineering		
ME 8874	Special Topics in Bioengineering		
ME 8875	Special Topics in Bioengineering		
ME 8876	Special Topics in Bioengineering		
ME 8881	Special Topics in Mechanics of Materials		
ME 8882	Special Topics in Mechanics of Materials		
ME 8883	Special Topics in Mechanics of Materials		
ME 8884	Special Topics in Mechanics of Materials		
ME 8885	Special Topics in Mechanics of Materials		
ME 8886	Special Topics in Mechanics of Materials		
ME 8901	Special Problems in Manufacturing		
ME 8902	Special Problem in Manufacturing		
ME 8903	Special Problems in Manufacturing		
ME 8904	Special Problems in Manufacturing		
ME 8905	Special Problems in Manufacturing		
ME 8906	Special Problems in Manufacturing		
ME 8911	Special Problems in Computer-aided Engineering and Design		
ME 8912	Special Problems in Computer-aided Engineering and Design		
ME 8913	Special Problems in Computer-aided Engineering and Design		
ME 8914	Special Problems in Computer-aided Engineering and Design		
ME 8915	Special Problems in Computer-aided Engineering and Design		
ME 8916	Special Problems in Computer-aided Engineering and Design		
ME 8921	Special Problems in Tribology		
ME 8922	Special Problems in Tribology		
ME 8923	Special Problems in Tribology		
ME 8924	Special Problems in Tribology		
ME 8925	Special Problems in Tribology		
ME 8926	Special Problems in Tribology		
ME 8931	Special Problems in Thermal Sciences		
ME 8932	Special Problems in Thermal Sciences		
ME 8933	Special Problems in Thermal Sciences		
ME 8934	Special Problems in Thermal Sciences		
ME 8935	Special Problems in Thermal Sciences		
ME 8936	Special Problems in Thermal Sciences		
ME 8941	Special Problems in Automation and Mechatronics		
ME 8942	Special Problems in Automation and Mechatronics		
ME 8943	Special Problems in Automation and Mechatronics		
ME 8944	Special Problems in Automation and Mechatronics		
ME 8945	Special Problems in Automation and Mechatronics		
ME 8946	Special Problems in Automation and Mechatronics		
ME 8951	Special Problems in Acoustics and Dynamics		
ME 8952	Special Problems in Acoustics and Dynamics		
ME 8953	Special Problems in Acoustic and Dynamics		
ME 8954	Special Problems in Acoustics and Dynamics		
ME 8955	Special Problems in Acoustics and Dynamics		
ME 8956	Special Problems in Acoustics and Dynamics		
ME 8961	Special Problems in Fluid Mechanics		
ME 8962	Special Problems in Fluid Mechanics		
ME 8963	Special Problems in Fluid Mechanics		
ME 8964	Special Problems in Fluid Mechanics		
ME 8965	Special Problems in Fluid Mechanics		
ME 8966	Special Problems in Fluid Mechanics		
ME 8971	Special Problems in Bioengineering		
ME 8972	Special Problems in Bioengineering		
ME 8973	Special Problems in Bioengineering		
ME 8974	Special Problems in Bioengineering		
ME 8975	Special Problems in Bioengineering		
ME 8976	Special Problems in Bioengineering		
ME 8981	Special Problems in Mechanics of Materials		
ME 8982	Special Problems in Mechanics of Materials		
ME 8983	Special Problems in Mechanics of Materials		
ME 8984	Special Problems in Mechanics of Materials		
ME 8985	Special Problems in Mechanics of Materials		
ME 8986	Special Problems in Mechanics of Materials		
ME 8997	Teaching Assistantship		
ME 8998	Research Assistantship		
ME 9000	Doctoral Thesis		
